                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1416,                0.84019,                 1.0432,                0.92558,                0.49997,                0.71973,                0.55676,                 1.2578,                0.95011,                 1.1013,              0.0033201,              0.0033201,              0.0033201
                      2,                 1.2022,                 0.8964,                 1.0645,                0.92119,                0.45946,                0.69537,                0.51507,                 1.3971,                  1.056,                 1.1381,              0.0066205,              0.0066205,              0.0066205
                      3,                 1.2719,                0.95561,                 1.0896,                0.88255,                0.26352,                0.57556,                0.40977,                 1.5438,                 1.5029,                 1.2487,              0.0098879,              0.0098879,              0.0098879
                      4,                 1.3259,                 1.0352,                 1.1213,                0.87269,                0.41222,                0.64729,                0.45987,                 1.4564,                 1.2354,                 1.2111,              0.0098515,              0.0098515,              0.0098515
                      5,                 1.3232,                 1.0475,                 1.1246,                0.88668,                0.35601,                0.62159,                0.45903,                 1.4366,                 1.2432,                  1.209,               0.009802,               0.009802,               0.009802
                      6,                 1.3148,                 1.0393,                 1.1221,                0.89911,                0.41104,                 0.6607,                0.48857,                 1.4053,                 1.1726,                 1.1951,              0.0097525,              0.0097525,              0.0097525
                      7,                 1.3099,                 1.0307,                 1.1212,                0.89913,                0.40519,                0.65599,                0.48594,                 1.3867,                 1.1906,                  1.191,               0.009703,               0.009703,               0.009703
                      8,                 1.3038,                 1.0292,                 1.1178,                0.91448,                0.38791,                0.65381,                 0.4867,                  1.404,                 1.1391,                 1.1758,              0.0096535,              0.0096535,              0.0096535
                      9,                 1.2913,                 1.0088,                 1.1117,                0.90178,                0.42373,                0.66731,                0.49477,                 1.3768,                 1.1289,                 1.1717,               0.009604,               0.009604,               0.009604
                     10,                 1.2877,                 1.0133,                 1.1112,                0.90423,                0.43455,                0.67309,                0.49919,                 1.3827,                 1.0991,                 1.1752,              0.0095545,              0.0095545,              0.0095545
                     11,                 1.2861,                  1.008,                  1.114,                0.90696,                0.41523,                0.66441,                0.49431,                 1.3753,                   1.15,                  1.185,               0.009505,               0.009505,               0.009505
                     12,                 1.2717,                0.99896,                 1.1074,                0.90684,                0.43941,                0.67746,                0.50969,                 1.3467,                 1.0791,                 1.1559,              0.0094555,              0.0094555,              0.0094555
                     13,                 1.2689,                0.99177,                  1.104,                0.91027,                0.45191,                0.68764,                0.51357,                 1.3409,                 1.0749,                 1.1558,               0.009406,               0.009406,               0.009406
                     14,                 1.2635,                0.98399,                 1.1028,                0.92061,                0.44798,                0.69001,                0.52338,                 1.3342,                 1.0588,                 1.1511,              0.0093565,              0.0093565,              0.0093565
                     15,                 1.2569,                0.97636,                 1.1001,                0.89111,                0.45375,                0.67889,                0.49877,                 1.3589,                 1.1105,                 1.1673,               0.009307,               0.009307,               0.009307
                     16,                 1.2536,                0.97298,                 1.0989,                0.89823,                0.46711,                 0.6885,                0.51191,                 1.3452,                 1.0768,                 1.1532,              0.0092575,              0.0092575,              0.0092575
                     17,                 1.2531,                0.97114,                 1.0972,                0.91516,                0.46068,                0.69388,                0.51832,                 1.3461,                 1.0562,                  1.155,               0.009208,               0.009208,               0.009208
                     18,                 1.2486,                0.96233,                  1.097,                0.92081,                0.43413,                0.68212,                0.50562,                 1.3709,                 1.0792,                 1.1632,              0.0091585,              0.0091585,              0.0091585
                     19,                 1.2498,                0.96671,                 1.0973,                0.90796,                0.46757,                0.69449,                  0.519,                 1.3366,                 1.0688,                 1.1505,               0.009109,               0.009109,               0.009109
                     20,                 1.2384,                0.96081,                 1.0929,                0.90397,                 0.4906,                0.70588,                 0.5277,                 1.3244,                 1.0646,                 1.1437,              0.0090595,              0.0090595,              0.0090595
                     21,                 1.2357,                0.95434,                 1.0951,                0.90975,                0.47265,                0.69716,                0.52297,                 1.3426,                 1.0304,                 1.1471,                0.00901,                0.00901,                0.00901
                     22,                 1.2306,                0.94568,                 1.0909,                0.90953,                0.49055,                0.70606,                0.53052,                 1.3174,                 1.0324,                 1.1414,              0.0089605,              0.0089605,              0.0089605
                     23,                 1.2349,                0.94734,                 1.0925,                0.92043,                0.47104,                0.70024,                0.53036,                 1.3132,                 1.0335,                  1.143,               0.008911,               0.008911,               0.008911
                     24,                 1.2286,                0.94226,                  1.089,                0.91367,                 0.4783,                0.70172,                  0.528,                 1.3104,                 1.0253,                 1.1363,              0.0088615,              0.0088615,              0.0088615
                     25,                 1.2254,                0.93468,                  1.084,                0.90945,                0.47765,                0.70009,                0.51747,                 1.3577,                 1.0409,                 1.1532,               0.008812,               0.008812,               0.008812
                     26,                 1.2213,                 0.9371,                 1.0856,                0.91305,                0.48817,                0.70761,                0.53207,                 1.3099,                 1.0192,                 1.1324,              0.0087625,              0.0087625,              0.0087625
                     27,                 1.2215,                0.93263,                 1.0858,                 0.9282,                0.47435,                0.70502,                0.53414,                 1.3034,                 1.0117,                 1.1354,               0.008713,               0.008713,               0.008713
                     28,                 1.2187,                0.92784,                 1.0826,                 0.9072,                0.51218,                0.71783,                0.53916,                 1.2929,                0.99484,                 1.1256,              0.0086635,              0.0086635,              0.0086635
                     29,                 1.2089,                0.92025,                 1.0796,                0.92364,                0.50806,                0.72236,                0.54524,                 1.2956,                0.98679,                  1.124,               0.008614,               0.008614,               0.008614
                     30,                  1.214,                0.92396,                  1.082,                0.92287,                0.49999,                0.71677,                0.54402,                 1.2812,                0.98155,                 1.1204,              0.0085645,              0.0085645,              0.0085645
                     31,                 1.2065,                0.91808,                 1.0792,                 0.9274,                0.49398,                0.71522,                0.54478,                 1.2849,                0.97819,                 1.1169,               0.008515,               0.008515,               0.008515
                     32,                 1.2083,                0.91844,                 1.0789,                0.91051,                0.50091,                0.71277,                0.53785,                 1.3016,                  0.991,                 1.1198,              0.0084655,              0.0084655,              0.0084655
                     33,                 1.2059,                0.91047,                 1.0757,                0.91853,                0.50156,                  0.716,                0.53962,                 1.2965,                 0.9832,                 1.1205,               0.008416,               0.008416,               0.008416
                     34,                 1.2065,                0.90825,                 1.0763,                0.92411,                0.50544,                0.72233,                0.54741,                 1.2899,                 0.9702,                 1.1218,              0.0083665,              0.0083665,              0.0083665
                     35,                  1.199,                0.90599,                 1.0746,                0.91435,                0.52176,                0.72477,                 0.5435,                 1.2951,                0.97318,                 1.1178,               0.008317,               0.008317,               0.008317
                     36,                 1.2012,                0.90283,                 1.0746,                0.91831,                0.50133,                0.71768,                0.54573,                 1.2873,                0.97457,                 1.1211,              0.0082675,              0.0082675,              0.0082675
                     37,                  1.198,                0.90174,                  1.074,                0.93705,                0.49024,                0.71803,                0.54917,                 1.2844,                0.96022,                 1.1126,               0.008218,               0.008218,               0.008218
                     38,                 1.1982,                0.89744,                 1.0731,                0.91693,                0.51573,                0.72513,                0.55169,                 1.2798,                0.96105,                 1.1172,              0.0081685,              0.0081685,              0.0081685
                     39,                 1.1956,                0.89864,                 1.0734,                0.92542,                0.52267,                0.73064,                 0.5578,                 1.2684,                0.95814,                 1.1141,               0.008119,               0.008119,               0.008119
                     40,                 1.1942,                 0.8929,                  1.071,                0.91474,                0.52327,                0.72609,                0.55079,                 1.2837,                0.95929,                 1.1166,              0.0080695,              0.0080695,              0.0080695
                     41,                 1.1896,                 0.8931,                   1.07,                0.92162,                0.51731,                0.72469,                0.55134,                 1.2808,                0.95222,                 1.1137,                0.00802,                0.00802,                0.00802
                     42,                 1.1892,                 0.8896,                 1.0695,                0.91472,                0.52295,                0.72566,                 0.5509,                 1.2796,                0.95946,                 1.1144,              0.0079705,              0.0079705,              0.0079705
                     43,                 1.1853,                0.88991,                 1.0689,                0.91853,                0.52597,                0.72795,                0.55577,                  1.267,                0.94339,                 1.1108,               0.007921,               0.007921,               0.007921
                     44,                 1.1881,                0.88953,                 1.0678,                0.91991,                0.53555,                  0.735,                0.56116,                  1.266,                0.94338,                 1.1093,              0.0078715,              0.0078715,              0.0078715
                     45,                 1.1826,                0.88411,                 1.0679,                0.91682,                0.53095,                0.73083,                0.55683,                 1.2679,                0.94816,                 1.1076,               0.007822,               0.007822,               0.007822
